# snr, ber
0.000000000000000000e+00,4.916687011718750000e-01
1.000000000000000000e+00,4.877624511718750000e-01
2.000000000000000000e+00,4.733276367187500000e-01
3.000000000000000000e+00,4.443969726562500000e-01
4.000000000000000000e+00,4.452209472656250000e-01
5.000000000000000000e+00,4.005126953125000000e-01
6.000000000000000000e+00,3.486328125000000000e-01
7.000000000000000000e+00,3.113403320312500000e-01
8.000000000000000000e+00,2.887878417968750000e-01
9.000000000000000000e+00,1.856994628906250000e-01
1.000000000000000000e+01,1.286010742187500000e-01
1.100000000000000000e+01,1.164550781250000000e-01
1.200000000000000000e+01,5.444335937500000000e-02
1.300000000000000000e+01,3.634643554687500000e-02
1.400000000000000000e+01,1.275634765625000000e-02
1.500000000000000000e+01,4.394531250000000000e-03
1.600000000000000000e+01,7.995605468750000000e-03
1.700000000000000000e+01,2.807617187500000000e-03
1.800000000000000000e+01,2.380371093750000000e-03
1.900000000000000000e+01,2.502441406250000000e-03
2.000000000000000000e+01,3.082275390625000000e-03
2.100000000000000000e+01,3.204345703125000000e-03
2.200000000000000000e+01,3.601074218750000000e-03
2.300000000000000000e+01,2.105712890625000000e-03
2.400000000000000000e+01,2.716064453125000000e-03
2.500000000000000000e+01,2.593994140625000000e-03
2.600000000000000000e+01,2.990722656250000000e-03
2.700000000000000000e+01,2.929687500000000000e-03
2.800000000000000000e+01,1.800537109375000000e-03
2.900000000000000000e+01,1.403808593750000000e-03
3.000000000000000000e+01,1.617431640625000000e-03
3.100000000000000000e+01,1.983642578125000000e-03
3.200000000000000000e+01,2.624511718750000000e-03
3.300000000000000000e+01,2.471923828125000000e-03
3.400000000000000000e+01,1.861572265625000000e-03
3.500000000000000000e+01,2.258300781250000000e-03
3.600000000000000000e+01,2.532958984375000000e-03
3.700000000000000000e+01,2.502441406250000000e-03
3.800000000000000000e+01,2.075195312500000000e-03
3.900000000000000000e+01,3.021240234375000000e-03
4.000000000000000000e+01,1.922607421875000000e-03
